,mean_mfcc_0,mean_mfcc_1,mean_mfcc_2,mean_mfcc_3,mean_mfcc_4,mean_mfcc_5,mean_mfcc_6,mean_mfcc_7,mean_mfcc_8,mean_mfcc_9,mean_mfcc_10,mean_mfcc_11,mean_mfcc_12,std_mfcc_0,std_mfcc_1,std_mfcc_2,std_mfcc_3,std_mfcc_4,std_mfcc_5,std_mfcc_6,std_mfcc_7,std_mfcc_8,std_mfcc_9,std_mfcc_10,std_mfcc_11,std_mfcc_12,std_mfccs_delta_0,std_mfccs_delta_1,std_mfccs_delta_2,std_mfccs_delta_3,std_mfccs_delta_4,std_mfccs_delta_5,std_mfccs_delta_6,std_mfccs_delta_7,std_mfccs_delta_8,std_mfccs_delta_9,std_mfccs_delta_10,std_mfccs_delta_11,std_mfccs_delta_12,std_mfccs_delta2_0,std_mfccs_delta2_1,std_mfccs_delta2_2,std_mfccs_delta2_3,std_mfccs_delta2_4,std_mfccs_delta2_5,std_mfccs_delta2_6,std_mfccs_delta2_7,std_mfccs_delta2_8,std_mfccs_delta2_9,std_mfccs_delta2_10,std_mfccs_delta2_11,std_mfccs_delta2_12
1069_133699_000002_000002.wav,-245.72519,96.218704,16.093891,15.817035,-23.717112,10.971557,3.282739,-12.025283,2.294156,-6.200655,-14.432867,-5.6353555,-3.4665215,91.25895,60.16139,37.263363,31.927208,25.03171,19.214848,17.138617,16.826189,11.784604,13.764231,10.988312,11.586154,10.335807,16.487944,12.650107,7.5198393,6.2564507,4.6601853,3.6923923,3.4125948,3.3482723,2.2878613,2.5819473,2.0398932,2.3141923,1.7659383,9.999153,7.9261513,4.4684052,3.3668454,2.7634456,2.4263146,1.9730666,2.136392,1.4551716,1.652806,1.4101417,1.634889,1.3244423
1069_133699_000003_000002.wav,-245.42967,95.98607,17.227337,14.126009,-27.937397,15.602816,1.4549129,-10.781475,3.406646,-0.6877418,-11.064764,-5.2125783,-1.9069496,115.13682,66.08873,43.79067,30.84407,29.460985,19.153921,17.573956,17.188295,11.232755,13.445248,10.713574,11.378858,8.166226,19.636438,13.011641,8.250808,5.33526,5.6385455,3.628608,3.0689387,3.4011173,2.0157752,2.6400802,1.9218236,2.2275107,1.5320492,12.914032,7.077297,5.2164526,2.7035594,3.195811,2.3160794,1.8985624,2.037057,1.4525892,1.7599277,1.2498705,1.3639059,1.061515
1081_128618_000003_000000.wav,-293.9092,120.63811,-17.683153,32.188988,21.799673,12.372702,-8.291314,13.186464,-6.7985826,-2.1879265,3.9257877,1.2321254,-0.7597299,105.88147,59.407635,41.366665,29.50183,20.693125,21.379204,15.801144,13.814816,12.618585,12.583972,16.524977,14.052686,9.079489,19.18678,12.854601,8.871818,6.244261,4.972871,4.853014,2.9786415,3.0383806,2.6829755,2.3229923,3.4433093,2.713825,2.175334,13.890797,6.6114388,3.7743917,3.5944307,3.1193235,2.0313132,2.0956159,1.5127484,1.2840608,2.1375985,2.0589585,1.4631853,1.2853019
1081_128618_000005_000000.wav,-292.76346,122.56418,-15.210899,34.707024,26.29855,8.652009,-8.185886,8.580516,-6.1314473,-1.7651074,6.083778,-0.25722736,-1.16623,93.62512,53.54036,34.18221,37.42391,22.276802,26.263195,15.780394,13.493017,14.1058445,13.190889,14.606012,11.748698,9.302229,19.988394,11.134347,8.070805,8.019714,4.990108,5.640839,3.588187,2.5931175,2.662655,2.6576576,2.6783333,2.4640718,2.1297526,13.13558,6.4985805,4.0311537,4.226787,2.5913103,2.1824687,2.1004057,1.4191377,1.0532491,2.0953228,1.6229609,1.2488714,1.2234744
1081_128618_000007_000000.wav,-252.04106,117.67122,-9.555575,29.957378,0.7010907,15.554576,-4.957967,3.0006473,-8.346717,3.062833,5.952398,0.81361663,-0.1905403,111.0664,50.46254,32.176884,27.898975,25.937117,22.692852,14.320718,13.143732,15.228102,13.422276,14.307237,10.586726,9.839294,24.809708,10.24845,8.2541,6.3609505,3.941292,4.386481,3.2404468,3.013565,3.2754714,2.7310708,3.079523,1.7845238,1.8652385,13.142406,5.6985946,4.175665,2.694075,3.3617592,2.0355794,1.6069152,1.9287941,1.4920688,1.534742,1.5278972,1.5834181,1.8499931
1088_129236_000002_000000.wav,-371.81793,112.60316,-16.163073,-0.87061816,-22.165037,3.8655715,-10.2883,-18.239527,-15.5437155,9.564042,0.094365425,-4.5280724,-7.3879547,98.59112,53.174698,23.396452,14.237338,18.469723,6.001324,8.805982,16.158613,13.816534,14.164027,6.6240807,8.306665,8.661344,22.043777,8.647002,6.275831,2.8619537,4.573522,1.0926961,1.8764145,1.8040259,1.7793381,3.228072,0.96440595,1.6263123,1.3550024,5.4411826,5.2953124,2.5867329,1.4359128,1.4915413,0.68552583,0.91275424,2.04306,1.6174134,1.1703637,0.6880345,0.950531,0.43897438
1088_129236_000003_000000.wav,-320.74896,105.56765,-1.090853,19.999096,-3.0648634,-11.098532,-11.198222,-12.189399,-12.960837,-2.0783715,-4.019017,-4.571062,-3.7406032,91.5819,50.03075,34.475735,31.07444,18.165537,17.548532,13.895174,11.745035,13.719232,11.818321,10.1249,10.218667,7.9332056,15.08408,9.647435,6.38209,5.832244,3.3702214,3.5836527,2.9458447,2.3067648,2.563581,2.0948389,2.0131192,1.940792,1.546499,8.549389,5.9461503,3.8520796,3.2108934,2.1002703,2.20538,1.939363,1.3914992,1.6276159,1.3519592,1.1999347,1.1624072,1.0141795
1088_129236_000005_000000.wav,-308.46112,104.916885,-1.624361,21.067596,-7.6567307,-6.2761407,-12.3382015,-10.7322035,-14.146689,-2.830212,-5.0400467,-4.3919263,-2.965006,78.11645,59.891415,29.178791,29.06597,21.781954,14.04292,11.94764,12.351492,12.627741,9.419345,10.43397,9.716696,8.732783,14.677464,12.308811,5.8386955,5.580468,4.1710076,2.7798104,2.4524958,2.2891796,2.1152303,1.7604388,2.0118704,1.9099215,1.5650672,10.219023,7.4895477,4.2377877,3.3209872,2.4854062,1.9980447,1.6639221,1.7097893,1.5000949,1.2877386,1.3428986,1.2873925,1.214164
1098_133695_000002_000000.wav,-309.0751,82.305084,19.918936,25.152761,-8.807944,8.917767,-16.10589,15.655963,-1.5938104,15.615848,-5.4319973,-0.5100001,-8.118845,129.62054,72.166016,30.720284,22.712494,21.218779,15.394172,15.102154,7.3488007,12.777741,7.82725,11.202272,11.230574,9.742674,15.574318,16.761143,6.3929334,5.56706,3.3441808,2.7567225,2.770921,1.5088918,3.025243,1.5462668,1.9434984,1.9446054,2.2857468,10.897788,11.268127,4.528678,2.7753637,2.0978765,2.6494544,2.3708215,1.3811268,1.7723011,1.207656,0.9213811,2.273166,1.4581217
1098_133695_000003_000002.wav,-293.72485,69.98493,14.071196,24.538826,-4.2814107,5.834246,-14.688781,11.445911,-7.3191276,2.1699471,-11.275193,0.22014143,-7.9066415,103.99593,71.75399,32.336563,27.148798,22.134155,20.632923,13.77503,14.128736,12.637158,12.866282,10.455287,11.5903015,15.261225,17.798344,14.857066,6.1846414,5.219223,4.527836,4.617643,2.6525948,2.4213226,2.0791698,2.732074,2.061432,2.4304066,2.679301,12.134909,8.14866,3.7526243,3.3786948,2.8121169,2.7157304,1.9429938,1.505505,1.1289119,1.7433206,1.3482825,1.5624715,1.7543333
1098_133695_000003_000003.wav,-282.0489,81.398125,24.914104,18.127499,-10.521873,4.4039736,-12.941067,6.331598,-10.484306,4.065155,-12.329182,0.10718388,-9.509218,86.56481,62.916897,31.57514,27.139956,27.790981,18.56619,16.148277,13.857851,11.981573,14.089216,10.001718,11.094399,12.980907,15.862159,12.966409,6.2396383,5.383141,5.3148837,3.868292,3.0473566,2.6656969,2.0608318,3.0205524,1.929208,1.9546062,2.5135498,11.53629,8.041103,3.9427705,3.1041162,3.2209716,2.6887953,2.0133967,1.9763461,1.4980742,1.8828839,1.3590962,1.4480667,1.6170038
1116_132847_000004_000000.wav,-333.7029,62.444042,-49.772274,58.77828,-6.923841,-5.8853006,19.677465,-9.530358,-0.060873058,8.299348,-11.116982,7.6045275,-5.693043,140.98741,57.689056,42.151203,30.509056,25.702145,21.645527,20.229416,19.892958,11.98091,10.643738,12.385854,9.946204,10.72437,21.622972,9.930701,9.241608,6.163356,4.8669567,4.552862,4.1729274,3.3621192,2.2513146,2.0485585,2.1815646,1.9169961,1.9816564,12.3819685,6.178677,5.4890947,3.0035565,2.832068,2.993724,2.5489063,2.087941,1.5057894,1.2530879,1.4649928,1.2899644,1.2224085
1116_132847_000004_000001.wav,-314.0481,47.174526,-47.559925,65.08392,1.2826978,-9.763215,12.291177,-10.4809475,0.08913909,7.491729,-11.998859,9.941699,-5.4611382,113.49874,62.80027,42.924686,28.36427,18.236294,22.448257,17.903156,19.610754,13.866455,10.615302,10.905331,10.310107,10.1467705,19.059978,13.36713,8.755926,5.6796284,3.8084426,4.7716336,3.720412,4.008805,2.5562837,2.191052,1.9629157,1.934674,1.9644378,9.883152,7.646383,5.18979,3.3710847,2.1004665,2.8976457,2.321134,2.3526936,1.6182919,1.3048941,1.3379492,1.4618386,1.270274
1116_132847_000007_000000.wav,-335.8234,43.762188,-40.246082,58.841393,2.973463,-5.0599465,13.271833,-0.37458545,2.0319593,10.412295,-9.613045,6.9628067,-4.415603,121.01162,69.25199,41.302288,27.231665,18.72088,21.546797,17.199734,16.434309,12.775411,12.394601,10.605621,9.560773,9.444058,21.178017,14.299274,8.6152,5.3078384,3.7414467,4.504335,3.1991465,3.2854612,2.3864121,2.3205123,2.180627,1.8559712,1.9854138,10.548057,8.707552,5.307384,3.0002337,2.0787773,2.7364135,1.8556648,2.0937908,1.6026198,1.2507995,1.3078369,1.275774,1.2488089
118_121721_000009_000001.wav,-297.03714,102.79522,-17.01178,35.178967,-5.2629685,-4.946518,-3.4542272,-2.9270155,-8.514928,-2.3788261,-5.574021,4.6002054,-5.3291926,82.70824,42.866585,36.399784,33.225006,14.161276,19.924364,10.37261,12.030385,12.834195,11.593392,8.652305,8.010429,10.357437,14.917378,9.596562,7.4853373,6.934769,2.4521286,4.4514728,2.087085,2.21722,2.7817225,2.3232062,1.5971254,1.5815246,1.9804126,8.363747,5.8704014,4.175568,3.2678123,1.8961532,2.7274227,1.4647523,1.5682278,1.7469833,1.5392046,1.0886347,1.1942866,1.2722005
118_121721_000022_000001.wav,-321.67514,123.44583,-7.8968854,9.248927,-7.9417586,9.543818,-4.203242,-6.8006415,-10.15522,0.5378961,-7.4206166,0.56484824,-2.6672776,70.253265,47.862896,19.396036,26.594517,22.239815,15.195817,12.426358,17.42317,16.949856,9.726824,9.633104,7.6068606,9.245191,16.785786,10.704502,4.3404913,5.6646624,4.797487,3.026217,2.4907646,3.5319808,2.8904738,1.4542812,2.0970762,1.6516879,1.7038803,7.6071563,6.8824344,2.6836596,3.0356238,2.065509,1.4196395,1.0191034,1.7176727,1.5770792,1.1157647,1.3024049,0.94144005,1.1195352
118_124588_000002_000000.wav,-379.7732,181.41069,1.4965624,13.557317,-3.4077222,9.448636,-3.9807801,3.310582,6.492721,-5.755654,5.76576,0.44876775,-5.1853805,89.22227,39.26172,29.769646,28.97365,18.362186,17.838821,12.40178,12.633862,13.187803,14.134035,10.317754,7.6902633,11.001345,20.576004,9.648497,5.8884773,6.3328347,3.9067738,3.8670502,2.9354777,2.4668653,2.7515955,3.4570122,1.9811764,1.5287732,1.8904046,9.332098,4.4693947,3.6567616,3.9804368,1.4158518,2.5372736,1.7846296,1.5525833,1.6849177,1.8123353,0.9908229,1.294922,1.1879036
1183_124566_000001_000001.wav,-299.80682,39.552517,-13.218317,30.103664,-25.030468,7.2928367,-16.471525,9.60648,-8.239001,9.140242,-6.146624,9.663113,-8.507309,111.18704,50.662098,38.491226,21.826132,20.01466,18.210962,18.847023,12.476589,15.233979,8.736838,10.488798,8.731323,7.3244314,25.49559,8.76084,8.217716,4.8139906,4.4323955,3.864462,3.978848,2.5297997,3.0417807,1.564242,1.6625521,1.657616,1.568539,16.421026,4.6867256,5.7835326,2.9261124,3.034951,2.1418755,2.9652243,1.6041731,1.7911316,1.3992555,1.1955806,1.4788373,1.0850683
1183_124566_000007_000000.wav,-324.98776,41.05133,-6.450725,33.808296,-26.678255,8.912314,-8.899783,12.200694,-7.129413,12.797979,-5.5834627,6.716935,-11.043952,115.1002,60.537888,47.535805,32.799488,25.824497,17.320198,14.878916,12.283456,14.568967,11.656439,10.099761,11.46945,11.673935,23.395523,10.590822,10.704364,6.8462334,5.3155146,3.2255268,3.1606421,2.3985434,3.1779523,2.527589,2.3647354,2.474397,2.3006568,10.905255,6.3577332,4.8906837,3.1473784,3.1516793,2.4102197,2.419346,1.765059,2.1791124,1.451451,1.3052467,1.6020632,1.3689395
1183_124566_000010_000000.wav,-350.6454,44.706234,-14.174054,16.959448,-25.971855,15.039753,-2.632382,12.11531,1.1086379,11.946761,-1.3979073,1.203719,-0.98274475,139.93832,59.224613,45.17251,23.14058,33.32786,16.78815,10.0811825,10.96441,8.59822,7.385216,7.3371263,9.005252,6.0561748,30.347952,13.17299,9.710304,5.207625,7.004029,3.7768712,2.3578422,2.4060051,1.883575,1.6014876,1.7181022,1.919421,1.169772,8.224947,7.5967903,4.742716,2.736837,3.301051,2.2900264,1.1415246,1.309911,1.3181059,1.2476,1.1984181,1.0645357,0.7650756
1235_135883_000004_000003.wav,-323.79385,91.04632,-1.8506255,33.80714,5.673327,-0.73196864,-5.207492,-3.9650478,-12.878976,-2.816626,-5.2838902,3.5787125,-7.2537866,106.21607,54.411205,40.21835,29.372469,30.206957,22.376728,18.752323,14.1608715,15.898458,12.442405,11.025061,10.836526,9.4961405,17.699663,11.247858,7.432748,5.569462,5.55713,4.047966,3.3376539,2.955268,2.984385,2.4548984,1.9527452,2.0124722,1.8107166,8.38887,6.161259,4.3795953,2.8288677,2.8278246,2.2931604,1.8768926,1.7958794,1.8814665,1.5246211,1.3174931,1.0797156,1.159976
1235_135883_000008_000001.wav,-272.32254,129.5546,-19.281145,17.352385,-8.17143,-8.633439,-9.3639765,2.283487,-28.372366,-2.421335,-4.1065106,-0.41233295,-5.980038,100.33856,37.13906,24.935637,27.728897,29.481422,16.357643,12.483446,19.076498,16.737663,10.72439,12.902276,11.944853,8.1742115,20.92456,7.5005455,5.341359,5.9769154,6.577427,2.4540246,2.6622763,4.0413294,3.230476,1.5538886,2.6233995,2.7912452,1.8709012,8.404522,5.2044215,3.0450711,3.531425,3.5006907,1.8352063,1.4459713,1.8451543,1.9716446,1.1469533,1.3211011,1.9245951,1.199104
1235_135883_000008_000003.wav,-341.0131,100.89225,-2.5192459,36.498074,14.44815,1.107033,-4.621495,-2.3556302,-13.940558,0.9103596,-5.0759726,1.7967495,-8.128103,119.273705,58.88809,39.859436,28.952839,25.709217,17.92348,17.508764,14.18764,15.145131,13.50428,9.739654,10.510202,9.65017,21.666037,12.192888,7.590594,5.7863913,5.088674,3.390571,3.3281286,2.5602245,2.74359,2.9132044,1.8264836,2.0319836,1.7351584,12.3676405,7.163021,4.7282066,2.9926302,2.9101415,1.8787632,2.272031,1.698843,1.5701281,1.649381,1.2793361,1.3861879,1.0890548
1246_124548_000001_000000.wav,-365.61887,68.68125,-2.3868592,35.566578,-5.743587,6.658173,-10.918162,-3.7103913,-2.5743275,5.056656,-11.80655,9.930218,-12.692374,94.95919,57.70159,30.922018,30.313501,21.639654,19.371277,17.123484,17.822388,12.225662,11.947055,11.836738,10.279283,11.15829,16.814457,11.956235,6.252874,6.5196524,4.0302863,3.7268963,3.1229937,3.6924212,2.293977,2.2078917,2.4100168,2.0083566,2.0019255,10.371135,6.844211,3.7210717,3.6207612,2.3432374,2.5812783,1.9333155,2.151597,1.4797437,1.282486,1.4643776,1.3329885,1.266296
1246_124548_000002_000000.wav,-390.34543,66.47155,5.88823,32.68649,-9.050314,12.724401,-2.3921032,0.633036,-2.7935927,5.2814817,-14.47264,11.966235,-9.175641,120.35661,68.16623,27.670147,28.840075,17.211288,17.72909,15.630326,15.27023,11.196016,9.869949,10.862295,9.449995,11.427922,23.792698,15.853265,4.9652877,6.2149,2.7494524,3.4980066,3.7155836,3.331391,2.4172056,2.1815012,2.3648722,1.7417536,2.8371255,12.36223,7.221837,3.81282,3.3669188,2.1440961,2.3013155,2.0666044,1.9755684,1.6860102,1.5582758,1.349579,1.3023534,1.399481
1246_124548_000002_000002.wav,-327.3747,51.68105,3.5654225,20.584606,-11.112474,18.489975,-14.260887,-9.31016,-4.148374,1.4009233,-11.099529,9.039541,-12.785389,90.806885,82.82412,33.93615,25.881468,19.935083,15.076291,13.926587,17.895252,13.565132,10.887963,10.271457,8.517841,10.272541,18.532558,19.072653,7.0626664,5.865851,3.9439445,3.0999134,2.2364001,3.628708,2.7411926,1.7585244,2.1421878,1.8193765,2.2181878,10.371845,9.5398855,4.0313406,3.4760182,2.0934818,2.5822723,1.9045919,1.8624735,2.3215196,0.95758617,1.430357,1.3538975,1.4858309
125_121124_000009_000003.wav,-311.58826,51.416546,-19.592377,38.61167,-8.251494,1.9324042,-0.9679503,-4.995294,4.7028975,10.179696,-6.384731,1.7067026,-6.790726,94.18765,59.57509,38.44986,26.969643,22.754545,20.408182,14.807402,15.975102,12.660877,11.958416,9.561299,9.720964,9.493536,17.50769,13.189801,8.675364,5.0032506,4.4243193,4.4098425,2.7510524,3.3798342,2.2097495,2.1647718,1.8331283,1.9291949,1.7851875,9.4216795,8.107227,5.200403,2.7077699,2.600701,2.5484746,1.7417766,2.0004454,1.444598,1.511739,1.1774391,1.3532721,1.209593
125_121124_000013_000001.wav,-283.04984,68.14651,-25.595703,25.541899,-6.94938,-3.9820087,-5.335772,-12.032702,4.4092126,10.53965,-4.2751217,4.657101,-5.632521,92.000145,73.52405,43.439304,22.281994,21.710917,21.455841,14.108543,13.566028,12.869191,12.495957,10.441797,8.108267,7.1618915,18.87683,12.936664,10.30277,3.569291,4.0872583,4.695278,2.5953333,2.986693,2.5178502,1.9885072,2.1872947,1.7278731,1.2499001,11.038853,8.369159,6.5084496,2.7364419,2.4990048,3.2594526,1.4157718,1.5768003,1.4637334,1.7559252,1.4079897,1.0914607,0.6266255
125_121124_000015_000000.wav,-388.6629,50.22549,3.1547406,63.60853,-3.1681035,-5.0554905,5.3010178,-0.79623765,-1.6859158,2.767534,-8.503171,12.532041,-19.203651,126.82739,54.86054,40.037514,21.14926,12.042935,25.671047,14.300308,21.611954,15.723828,9.268067,9.674345,6.637939,16.802906,14.628588,12.275616,8.472799,4.22912,1.9093338,5.458926,2.7728207,3.6974194,3.0097923,1.3988259,1.0094373,1.0901418,3.2111964,6.3533173,7.9304504,6.27098,2.1708055,0.891173,2.2989197,2.1730661,2.3701155,1.6038494,0.9832719,0.9359637,0.97848135,1.8548917
1263_138246_000001_000000.wav,-306.6186,75.98912,6.770612,43.760323,3.4758708,9.427085,-9.017793,19.539434,-5.160194,7.2795906,-10.935155,5.69871,-7.328369,112.10107,51.257683,27.950926,23.5749,15.330154,19.036036,17.081781,14.23085,15.33459,10.142478,11.243075,9.683182,10.350211,19.956154,11.878839,6.261617,4.6029463,2.8896477,4.2484164,3.5308404,2.5358722,2.8249984,2.1155522,2.484314,2.0452092,2.006359,11.1804495,5.6851563,3.8071358,2.878904,1.9622548,2.1404305,1.8365343,1.5065175,1.5722476,1.4073005,1.339576,1.1617584,1.2659484
1263_138246_000003_000001.wav,-321.43448,102.11339,0.41274825,28.863258,3.1218264,2.8342083,-7.889934,10.748346,-9.633534,10.953574,-13.011026,5.9775653,-4.9726048,114.34537,53.895897,30.639034,31.706783,19.060368,23.760992,15.787482,13.391895,18.718039,10.030804,12.341975,10.600346,10.3203125,23.881346,10.058249,5.9302335,5.179415,3.7471433,4.6946254,3.2607121,2.4032369,3.5690482,1.9128594,2.6233556,1.9364196,1.8844292,15.041805,5.698084,3.6508987,2.5895247,2.2944815,2.8771937,1.9658157,1.5505933,2.2645447,1.2679346,1.6234818,1.3122032,1.3858517
1263_138246_000003_000002.wav,-317.31833,95.24448,7.678626,30.623682,-5.0917873,9.093017,-6.063485,12.222679,-8.380433,7.556934,-9.829129,6.8345056,-8.012285,115.971924,53.559246,29.780746,29.198023,23.97464,20.655226,15.641306,12.327004,16.337582,10.764322,10.582987,8.563557,10.812009,20.318027,10.363341,5.852142,5.57073,4.602507,4.406244,3.1032512,2.20886,3.0623,2.171071,2.0799167,1.602264,2.099242,12.62631,5.6267114,3.3912184,2.9752798,2.8252232,2.6137953,2.0652866,1.3424772,1.863197,1.53503,1.2865458,1.0940675,1.247876
